County,Year,value
Lake,2019-06-30,68.5
Lee,2019-06-30,74.5
Leon,2019-06-30,153.3
Levy,2019-06-30,33.9
Liberty,2019-06-30,65.5
Madison,2019-06-30,30.7
Manatee,2019-06-30,85.7
Marion,2019-06-30,65.5
Martin,2019-06-30,135.4
Monroe,2019-06-30,105.1
Nassau,2019-06-30,92.8
Okaloosa,2019-06-30,111.9
Okeechobee,2019-06-30,41.1
Orange,2019-06-30,110.1
Osceola,2019-06-30,46.9
Palm Beach,2019-06-30,154.3
Pasco,2019-06-30,81.8
Pinellas,2019-06-30,138.7
Polk,2019-06-30,60.4
Putnam,2019-06-30,32.9
St. Johns,2019-06-30,158.6
St. Lucie,2019-06-30,68.9
Santa Rosa,2019-06-30,114.0
Sarasota,2019-06-30,142.6
Seminole,2019-06-30,161.8
Sumter,2019-06-30,45.9
Suwannee,2019-06-30,33.0
Taylor,2019-06-30,13.2
Union,2019-06-30,25.0
Volusia,2019-06-30,95.6
Wakulla,2019-06-30,80.2
Walton,2019-06-30,88.1
Washington,2019-06-30,47.3
Unknown,2019-06-30,
Florida,2020-06-30,117.1
Alachua,2020-06-30,238.2
Baker,2020-06-30,63.0
Bay,2020-06-30,105.8
Bradford,2020-06-30,48.6
Brevard,2020-06-30,106.3
Broward,2020-06-30,139.9
Calhoun,2020-06-30,13.4
Charlotte,2020-06-30,72.8
Citrus,2020-06-30,54.7
Clay,2020-06-30,87.3
Collier,2020-06-30,70.4
Columbia,2020-06-30,67.9
Miami-Dade,2020-06-30,95.0
DeSoto,2020-06-30,52.2
Dixie,2020-06-30,18.0
Duval,2020-06-30,112.4
Escambia,2020-06-30,112.1
Flagler,2020-06-30,86.8
Franklin,2020-06-30,65.4
Gadsden,2020-06-30,75.5
Gilchrist,2020-06-30,27.7
Glades,2020-06-30,7.6
Gulf,2020-06-30,74.7
Hamilton,2020-06-30,27.4
Hardee,2020-06-30,25.4
Hendry,2020-06-30,34.5
Hernando,2020-06-30,63.0
Highlands,2020-06-30,46.0
Hillsborough,2020-06-30,109.4
Holmes,2020-06-30,59.5
Indian River,2020-06-30,85.9
Jackson,2020-06-30,89.0
Jefferson,2020-06-30,80.9
Lafayette,2020-06-30,22.9
Lake,2020-06-30,78.9
Lee,2020-06-30,78.1
Leon,2020-06-30,152.7
Levy,2020-06-30,36.0
Liberty,2020-06-30,68.4
Madison,2020-06-30,31.2
Manatee,2020-06-30,88.3
Marion,2020-06-30,64.0
Martin,2020-06-30,131.0
Monroe,2020-06-30,100.9
Nassau,2020-06-30,88.1
Okaloosa,2020-06-30,123.3
Okeechobee,2020-06-30,40.3
Orange,2020-06-30,110.3
Osceola,2020-06-30,50.0
Palm Beach,2020-06-30,161.6
Pasco,2020-06-30,88.9
Pinellas,2020-06-30,142.3
Polk,2020-06-30,59.5
Putnam,2020-06-30,40.9
St. Johns,2020-06-30,152.2
St. Lucie,2020-06-30,78.0
Santa Rosa,2020-06-30,114.4
Sarasota,2020-06-30,141.0
Seminole,2020-06-30,165.1
Sumter,2020-06-30,39.8
Suwannee,2020-06-30,23.9
Taylor,2020-06-30,13.2
Union,2020-06-30,32.3
Volusia,2020-06-30,97.5
Wakulla,2020-06-30,83.8
Walton,2020-06-30,97.9
Washington,2020-06-30,55.4
Unknown,2020-06-30,
Florida,2021-06-30,123.5
Alachua,2021-06-30,245.4
Baker,2021-06-30,62.5
Bay,2021-06-30,109.7
Bradford,2021-06-30,52.0
Brevard,2021-06-30,110.6
Broward,2021-06-30,150.2
Calhoun,2021-06-30,13.7
Charlotte,2021-06-30,70.6
Citrus,2021-06-30,59.6
Clay,2021-06-30,96.7
Collier,2021-06-30,74.2
Columbia,2021-06-30,76.2
Miami-Dade,2021-06-30,103.2
DeSoto,2021-06-30,50.1
Dixie,2021-06-30,17.9
Duval,2021-06-30,119.6
Escambia,2021-06-30,123.1
Flagler,2021-06-30,91.5
Franklin,2021-06-30,66.8
Gadsden,2021-06-30,77.4
Gilchrist,2021-06-30,32.1
Glades,2021-06-30,7.1
Gulf,2021-06-30,73.9
Hamilton,2021-06-30,27.4
Hardee,2021-06-30,25.5
Hendry,2021-06-30,38.3
Hernando,2021-06-30,71.8
Highlands,2021-06-30,46.1
Hillsborough,2021-06-30,115.9
Holmes,2021-06-30,70.0
Indian River,2021-06-30,86.0
Jackson,2021-06-30,92.2
Jefferson,2021-06-30,104.0
Lafayette,2021-06-30,22.5
Lake,2021-06-30,82.3
Lee,2021-06-30,86.7
Leon,2021-06-30,162.6
Levy,2021-06-30,42.8
Liberty,2021-06-30,69.5
Madison,2021-06-30,42.2
Manatee,2021-06-30,91.4
Marion,2021-06-30,70.7
Martin,2021-06-30,138.5
Monroe,2021-06-30,105.2
Nassau,2021-06-30,91.0
Okaloosa,2021-06-30,139.0
Okeechobee,2021-06-30,40.2
Orange,2021-06-30,117.3
Osceola,2021-06-30,52.3
Palm Beach,2021-06-30,172.5
Pasco,2021-06-30,94.3
Pinellas,2021-06-30,151.7
Polk,2021-06-30,62.9
