Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-119,35,32,224,4,0,2,22,0,19,11,7,6,2,0,0,0,11,-8,0,0,0
,Provider-166,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0
,Provider-83,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342,0,0,0,0,0
,Provider-84,39,35,192,34,1,24,64,10,31,35,57,28,12,5,1,0,7,4,0,0,3
,Provider-106,146,140,332,31,0,34,120,13,90,45,65,26,71,39,2,0,22,-45,0,0,0
,Provider-85,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,268,0,0,0,0,0
,Provider-121,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,0,0,0,0,0
,Provider-86,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,347,0,0,0,0,0
,Provider-87,263,186,39,1,3,263,72,28,40,65,38,5,24,237,6,0,2,25,4,7,1
,Provider-88,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170,0,0,0,0,0
,Provider-139,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0
,Provider-89,25,24,78,12,0,15,61,19,31,28,28,20,6,3,1,0,0,-3,0,1,0
,Provider-148,92,90,165,18,0,21,100,6,89,44,44,16,9,42,1,0,11,-45,0,0,0
,Provider-90,17,15,75,5,0,3,11,1,10,9,7,6,2,1,0,0,20,-1,0,0,0
,Provider-161,29,25,42,2,0,8,13,1,7,5,7,5,4,5,0,0,1,-2,0,0,1
,Provider-92,43,36,176,16,1,13,45,5,34,9,24,29,9,20,0,0,13,-25,0,0,0
,Provider-93,70,51,195,53,0,56,44,3,25,48,18,42,1,1,1,0,16,23,0,0,0
,Provider-94,93,91,233,34,2,42,64,6,33,32,28,48,4,31,0,0,1,-1,0,1,2
,Provider-95,30,30,241,25,0,34,95,18,43,39,49,23,10,4,1,0,6,-4,1,0,4
,Provider-96,31,29,187,23,0,28,93,3,43,28,60,34,3,0,0,0,25,-15,0,0,0
,Provider-97,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
,Provider-149,48,48,95,38,0,9,55,7,39,34,27,38,12,0,1,0,0,-5,1,0,0
