Unnamed: 0,New Provider Name,Assessment and plan for trauma,Assessment and plan for pain,Pt is at baseline No GDR,Attempted GDR,Failed GDR,Unstable requiring no med changes,Pt Unstable Requiring Med Changes,Ordered labs,Total Psych Meds Started,Total Psych Meds Discontinued,Total Psych Meds Increased,Total Pysch Meds Decreased,Changed diagnosis,Referred patient to,Initiated prior authorization,Summary of session and goals,Decision making,Total Difference In Psych Meds,Initiated Baker Act,Initiated 1 1 sitter,Removed 1 1 sitter
,Provider-17,53,54,151,26,0,10,38,4,19,28,20,34,4,0,0,0,22,9,0,2,1
,Provider-18,68,69,303,14,0,18,65,16,34,37,32,7,3,36,3,0,9,3,1,0,2
,Provider-122,83,85,116,59,0,71,231,14,110,96,145,66,2,3,0,0,6,-14,0,0,0
,Provider-19,19,13,264,25,2,20,67,11,35,40,41,55,9,2,0,0,11,5,0,0,0
,Provider-167,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
,Provider-130,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0
,Provider-155,52,50,272,24,0,10,131,8,57,34,76,28,3,1,1,0,9,-23,0,0,0
,Provider-123,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0
,Provider-171,2,3,4,0,0,4,3,0,2,0,1,0,1,0,0,0,0,-2,0,0,0
,Provider-20,35,28,180,26,0,35,85,11,41,36,39,47,9,3,1,0,14,-5,0,0,0
,Provider-21,0,5,6131,0,0,70,42,68,19,71,33,38,115,14,0,0,0,52,0,5,0
,Provider-22,23,20,411,0,0,70,51,7,21,14,25,11,5,0,0,0,2,-7,1,0,0
,Provider-142,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,1,0,0
,Provider-24,19,15,141,23,1,24,120,0,63,37,72,21,21,0,1,0,1,-26,0,0,0
,Provider-25,85,85,94,13,0,51,39,4,11,37,22,11,4,27,0,0,0,26,0,0,0
,Provider-163,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,0,0,0,0,0
,Provider-26,64,48,224,17,0,52,85,14,49,41,41,16,38,15,2,0,1,-8,0,0,0
,Provider-131,93,94,128,9,0,51,38,7,29,19,12,14,3,1,0,0,0,-10,1,0,0
,Provider-156,38,39,142,3,0,14,29,0,18,1,14,12,1,3,0,0,6,-17,0,0,0
,Provider-108,16,14,122,0,0,7,24,5,19,11,8,1,8,0,0,0,1,-8,0,0,0
,Provider-28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,0,0,0,0,0
,Provider-102,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,0,0,1,0,0
,Provider-172,14,13,24,2,0,8,22,5,11,14,9,1,4,4,0,0,1,3,0,0,0
,Provider-30,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0
,Provider-31,78,76,219,13,0,40,62,3,24,27,39,22,3,1,0,0,7,3,0,0,0
,Provider-32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0
,Provider-33,35,35,34,0,0,0,2,1,1,0,1,0,0,0,0,0,0,-1,0,0,0
,Provider-124,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,0,0,0,0,0
,Provider-109,53,52,273,27,1,61,93,6,61,47,52,44,10,0,0,0,7,-14,0,0,0
,Provider-132,32,30,143,29,0,5,28,9,13,24,14,26,2,0,0,0,2,11,0,0,0
,Provider-35,79,80,175,10,0,29,98,30,62,24,49,25,6,4,0,0,9,-38,1,0,0
,Provider-168,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0
,Provider-36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,366,0,0,0,0,0
,Provider-37,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310,0,0,0,0,0
,Provider-157,247,0,0,0,0,0,0,0,0,0,0,0,1,0,0,250,0,0,0,0,0
,Provider-39,44,45,319,31,3,50,71,27,44,51,39,41,27,7,1,0,0,7,1,0,1
,Provider-125,183,178,0,0,0,0,0,0,20,6,19,11,0,0,0,0,0,-14,0,0,0
,Provider-110,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0
,Provider-41,40,40,223,26,2,35,35,2,14,41,18,13,4,4,0,0,0,27,4,0,0
,Provider-169,24,21,78,3,0,16,44,2,28,11,20,10,3,3,1,0,11,-17,0,0,0
,Provider-43,69,70,169,19,0,76,127,12,58,66,67,35,19,10,0,0,9,8,0,0,1
,Provider-170,14,14,0,0,0,3,11,0,10,1,4,0,0,0,0,0,0,-9,0,0,0
,Provider-104,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,266,0,0,1,0,0
,Provider-117,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,0,0,0,0,0
,Provider-173,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0
,Provider-44,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0
,Provider-45,151,147,404,16,0,39,101,7,91,48,38,14,4,3,1,0,0,-43,0,0,4
,Provider-46,31,0,0,0,0,0,0,0,0,0,0,0,0,1,0,155,0,0,0,0,0
,Provider-47,47,44,277,8,0,15,41,7,18,29,26,8,33,2,0,0,1,11,0,0,3
,Provider-52,140,151,375,21,0,151,68,8,59,66,19,9,22,34,0,0,0,7,0,0,2
,Provider-53,36,35,168,20,0,6,67,9,29,30,38,20,10,4,0,0,10,1,0,0,0
,Provider-144,85,79,173,9,0,124,144,17,76,33,77,15,12,37,0,0,3,-43,0,0,0
,Provider-54,135,133,200,32,4,38,106,6,59,49,44,51,25,0,0,0,4,-10,0,0,0
,Provider-174,2,1,14,1,0,5,3,0,1,3,2,0,1,1,0,0,0,2,0,0,0
,Provider-111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0
,Provider-175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Provider-55,256,15,0,0,0,0,0,0,60,41,50,9,0,0,0,0,0,-19,0,0,0
,Provider-56,367,367,357,40,1,2,57,17,36,70,30,28,1,7,0,0,0,34,1,0,0
,Provider-57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0
,Provider-145,43,41,200,0,0,34,37,2,33,24,6,0,10,11,0,0,0,-9,0,0,0
,Provider-146,84,77,275,52,0,19,85,7,65,42,47,57,39,3,0,0,8,-23,0,0,3
,Provider-164,31,24,130,20,0,30,108,9,63,54,43,28,5,10,0,0,5,-9,0,1,1
,Provider-126,57,55,156,46,0,80,101,11,45,66,61,41,2,0,0,0,0,21,0,0,4
,Provider-59,41,42,185,13,0,32,52,10,33,30,21,26,10,8,0,0,0,-3,0,0,0
,Provider-60,234,0,0,0,0,0,0,0,0,0,0,0,3,0,0,235,0,0,0,0,0
,Provider-176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
,Provider-61,96,93,273,21,0,93,69,24,40,41,32,22,14,25,0,0,1,1,0,0,0
,Provider-62,6,5,94,141,0,10,84,21,32,82,75,122,12,0,0,0,15,50,0,0,0
,Provider-63,39,38,97,0,1,27,118,0,92,41,30,11,0,4,0,0,0,-51,0,0,0
,Provider-137,40,36,249,2,1,45,46,17,21,12,28,2,12,1,0,0,0,-9,0,0,0
,Provider-65,31,27,162,47,0,13,53,5,30,29,32,43,12,7,0,0,0,-1,0,0,1
,Provider-66,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,0,0,0,0,0
,Provider-127,33,24,199,9,0,14,83,5,41,15,52,5,18,0,0,0,0,-26,0,0,0
,Provider-158,4,4,51,10,0,15,22,3,18,16,6,13,0,3,0,0,5,-2,0,0,0
,Provider-67,60,56,141,18,0,71,70,13,29,39,35,26,5,36,0,0,0,10,1,0,0
,Provider-147,98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0
,Provider-69,64,63,282,19,0,15,70,7,35,31,38,13,4,5,0,0,0,-4,0,0,1
,Provider-112,107,107,124,5,0,78,101,36,74,41,25,20,14,204,0,0,0,-33,0,0,13
,Provider-71,56,54,262,12,1,68,63,5,28,35,33,12,9,1,0,0,0,7,1,0,0
,Provider-72,58,56,199,49,0,13,94,21,61,47,65,46,10,0,1,0,6,-14,0,0,1
,Provider-74,47,46,249,11,0,15,56,7,29,21,34,22,2,8,0,0,0,-8,1,1,0
,Provider-75,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,0,0,0,0,0
,Provider-76,81,79,225,10,0,16,63,5,51,31,27,9,5,6,2,0,3,-20,1,0,0
,Provider-159,29,28,107,8,0,11,62,5,35,21,30,15,1,1,0,0,9,-14,0,0,0
,Provider-128,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282,0,0,0,0,0
,Provider-118,47,46,77,13,0,131,68,3,42,19,39,7,18,3,0,0,5,-23,0,0,0
,Provider-77,60,47,236,35,3,173,139,11,81,45,84,48,39,27,1,0,18,-36,1,0,2
,Provider-177,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,Provider-78,72,72,183,40,0,54,69,22,45,41,54,45,21,5,0,0,0,-4,0,0,1
,Provider-79,68,68,255,40,5,60,107,40,70,70,72,36,27,1,1,0,6,0,0,0,1
,Provider-160,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0
,Provider-129,37,35,161,36,0,175,77,11,22,56,60,37,19,0,0,0,4,34,0,0,1
,Provider-178,5,5,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
,Provider-81,197,0,0,0,0,0,0,0,0,0,0,0,27,48,0,199,0,0,1,1,1
,Provider-119,61,60,291,5,1,1,26,1,22,8,4,2,1,0,0,0,20,-14,0,0,0
,Provider-166,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,0,0,0,0,0
,Provider-83,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0
,Provider-84,138,45,177,26,0,30,97,12,39,30,73,26,20,1,0,0,4,-9,0,0,3
,Provider-106,66,64,335,29,0,34,90,15,52,40,52,21,27,27,2,0,64,-12,0,0,0
,Provider-85,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,0,0,0,0,0
,Provider-121,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0
,Provider-86,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0
,Provider-87,249,222,61,7,6,209,77,33,45,79,54,8,22,214,7,0,12,34,4,6,1
,Provider-88,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,0,0,0
,Provider-139,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0
,Provider-89,15,14,54,18,0,5,29,6,16,19,14,21,8,2,0,0,0,3,0,0,0
,Provider-148,47,44,163,28,1,7,133,12,100,48,72,23,8,40,3,0,7,-52,0,2,0
,Provider-90,17,17,82,6,0,1,17,3,11,10,6,9,1,0,1,0,0,-1,0,1,0
,Provider-161,46,46,104,21,0,19,39,9,27,21,21,25,5,3,1,0,2,-6,0,3,1
,Provider-92,64,56,208,10,1,44,73,7,54,16,41,6,16,58,2,0,6,-38,1,2,1
,Provider-93,54,56,142,56,0,63,52,4,33,45,25,48,3,0,0,0,16,12,0,0,0
,Provider-94,83,82,240,45,1,24,72,6,33,61,32,53,10,32,1,0,1,28,0,0,0
,Provider-95,36,36,254,16,0,23,88,31,41,39,44,15,11,8,0,0,4,-2,1,0,3
,Provider-179,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0
,Provider-96,40,39,184,17,0,16,87,0,49,22,47,29,2,0,0,0,17,-27,0,0,0
,Provider-97,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,0,0,0,0,0
,Provider-149,45,44,172,45,0,5,60,11,38,39,27,37,32,0,0,0,8,1,0,0,0
,Provider-150,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0
,Provider-99,124,122,258,24,0,42,122,32,44,92,69,40,21,10,0,0,2,48,0,0,1
,Provider-100,8608,5182,21270,1758,45,3307,5968,911,3477,3109,3262,2025,1113,1113,34,9814,429,-368,34,29,58
